,pk_1,pk_2,pk_3,pk_4,pk_5
0,ガチグマ(暁),パオジアン,ハバタクカミ,ウーラオス(水),キラフロル
0,ブリジュラス,オーガポン(岩),ハバタクカミ,ウーラオス(水),イーユイ
0,キョジオーン,オーガポン(水),ハバタクカミ,パオジアン,イーユイ
0,ディンルー,サーフゴー,ハバタクカミ,パオジアン,ウーラオス(水)
0,ガチグマ(暁),モロバレル,ハバタクカミ,ウーラオス(水),イーユイ
0,タケルライコ,ミミッキュ,ハッサム,テツノツツミ,ランドロス
0,パオジアン,ウーラオス(水),ガチグマ(暁),オーガポン(火),ハバタクカミ
0,キョジオーン,ウーラオス(水),ガチグマ(暁),パオジアン,ハバタクカミ
0,パオジアン,ウーラオス(水),ガチグマ(暁),オーガポン(火),ハバタクカミ
0,パオジアン,ウーラオス(水),ガチグマ(暁),オーガポン(火),ハバタクカミ
0,イーユイ,ウーラオス(水),ママンボウ,モロバレル,ブリジュラス
0,チオンジェン,イーユイ,ハバタクカミ,ウーラオス(水),キラフロル
0,ブリジュラス,ブリムオン,イダイトウ(オス),パオジアン,ガチグマ(暁)
0,キノガッサ,ミミッキュ,ハバタクカミ,ブリジュラス,イーユイ
0,ディンルー,サーフゴー,ハバタクカミ,パオジアン,ウーラオス(水)
0,イーユイ,テツノツツミ,ミミッキュ,カバルドン,サーフゴー
0,ディンルー,サーフゴー,ハバタクカミ,パオジアン,ウーラオス(水)
0,ブリジュラス,ウーラオス(水),ガチグマ(暁),オーガポン(火),ハバタクカミ
0,キョジオーン,オーガポン(水),ガチグマ(暁),パオジアン,ハバタクカミ
0,パオジアン,ウーラオス(水),ガチグマ(暁),オーガポン(火),ハバタクカミ
0,イーユイ,ウーラオス(水),ガチグマ(暁),モロバレル,ハバタクカミ
0,ディンルー,ウーラオス(水),サーフゴー,パオジアン,ハバタクカミ
